ID,Nest,1st egg laid,Year,Date collection,Date collection num,Egg number collected,Time collection,Temperature - time of collection,Accumulated rain until collection,Clutch number,Female,Prop Lauric (SFA),Prop Myristic acid (SFA),Prop 15_0 (SFA),Prop Palmitic acid (SFA),Prop 17_0 (SFA),Prop Stearic (SFA),Prop Total SFA,Prop 14_1 (MUFA),Prop Oleic acid (MUFA),Prop 16:1n-9 (MUFA),Prop Palmitoleic acid (MUFA),Prop cis-vaccenic acid (MUFA),Prop Gondoic acid (MUFA),Prop 20:1n-7 (MUFA),Prop Total MUFA,Prop alfa-linolenic acid (n-3 PUFA),Prop EPA (n-3 PUFA),Prop DPA (n-3 PUFA),Prop DHA (n-3 PUFA),Prop Total n-3 PUFA,Prop 16:02 (n-6 PUFA),Prop gamma-linolenic (n-6 PUFA),Prop Linoleic acid (n-6 PUFA),Prop pinoleic acid (n-6 PUFA),Prop Eicosadienoic acid (n-6 PUFA),Prop dihomo-gamma-linolenic acid (n-6 PUFA),Prop eicosatrienoic acid (n-6 PUFA),Prop Arachidonic acid (n-6 PUFA),Prop 22:4n-6 (n-6 PUFA),Prop 22:5n-6 (n-6 PUFA),Prop Total n-6 PUFA,Prop 18:2 (n-9 PUFA),Prop Total n-9 PUFA,Prop Ratio n6/n3,Temp 3 days before,Mean accumulated rain 3 days previous
14,116,19-Apr-15,2015,22-Apr-15,4.22,4,10:34:00 AM,8.5,0,1,NA,0.013259385,0.697509154,0.069036658,18.48024063,0.492735851,7.504309048,27.25709073,NA,37.76834394,1.678371233,0.884790938,1.267066837,0.069278135,1.959646933,43.62749802,1.589681652,0.164128761,1.044877071,0.229398547,3.028086031,0.048290305,0.103820045,23.06950838,0,0.364476141,0.341966964,0,1.89308752,0.227992535,NA,26.04914189,0.038183331,0.038183331,8.602510504,6.9,0
31,96,23-Apr-15,2015,26-Apr-15,4.26,4,11:36:00 AM,17.5,0,1,C3F 8914,0.024064816,0.63139128,0.084467819,19.16513431,0.54461159,7.948108179,28.39777799,NA,37.39418303,1.615628711,1.186891996,1.357861763,0.061505412,1.707132001,43.32320291,2.1980549,0.243527303,1.32781774,0.339106789,4.108506732,0.047203366,0.10349341,21.12005985,0,0.407724208,0.401077999,0,1.799803817,0.239264043,NA,24.11862669,0.051885663,0.051885663,5.870411871,7.92,0
36,98,25-Apr-15,2015,28-Apr-15,4.28,4,8:54:00 AM,7.5,NA,1,C3K 7194,0.008489898,0.414375874,0.090770875,22.31090182,0.625309642,7.849824283,31.29967239,NA,37.808453,1.176824409,1.95897444,1.802169702,0.049892213,1.050319509,43.84663327,2.710865706,0.283715087,1.731869064,0.327176775,5.053626632,0.034396705,0.102178082,16.6588758,0,0.354256608,0.382463049,0,1.856811134,0.326205649,NA,19.71518703,0.084880678,0.084880678,3.901195807,12.42,0
29,114,23-Apr-15,2015,26-Apr-15,4.26,4,12:09:00 PM,18,0,1,NA,0.007092292,0.293568838,0.06260553,16.39374467,0.531330815,8.53234442,25.82068657,NA,40.0687334,1.298605396,0.635313744,1.174998262,0.080201528,2.300201664,45.55805399,1.669499705,0.200162807,0.987222558,0.284681637,3.141566707,0.040646095,0.13615989,22.35210647,0,0.386221654,0.341039293,0,1.952886051,0.24825153,NA,25.45731098,0.022381755,0.022381755,8.103380688,7.92,0
35,94,24-Apr-15,2015,28-Apr-15,4.28,4,8:47:00 AM,7.5,NA,1,C3K 7192,0.099311493,0.53836855,0.082989319,24.97947185,0.414732205,6.658506866,32.77338028,NA,40.62601448,1.11148376,3.540900709,2.401174106,0.030318886,0.460788263,48.1706802,4.46814069,0.447710414,2.124061509,0.23410555,7.274018163,0.0157535,0.051015229,10.01196998,0,0.173191776,0.2009056,0,1.127635797,0.125339119,NA,11.705811,0.076110356,0.076110356,1.609263373,12.42,0
40,91,27-Apr-15,2015,1-May-15,5.01,5,8:36:00 AM,7.5,NA,1,C3K 6027,0.01905574,1.289974652,0.100045006,23.84880331,0.486946473,7.212854741,32.95767992,NA,37.4173275,1.071179102,3.158899813,1.513994882,0.052937474,0.936378251,44.15071702,2.285377783,0.440742405,1.717244044,0.319918234,4.763282466,0.036199526,0.124871806,15.3132168,0,0.217181814,0.339651097,0,1.849749229,0.181236067,NA,18.06210634,0.066214258,0.066214258,3.791945254,7.71,NA
41,123,29-Apr-15,2015,2-May-15,5.02,4,10:15:00 AM,9,NA,1,C3K 6029,0.012394669,0.476137987,0.11861595,21.05304535,0.73603445,7.580526947,29.97675535,NA,38.07610065,1.209817138,2.611391605,2.150060156,0.061409166,1.104501579,45.21328029,2.732818748,0.39363289,1.80106042,0.267621027,5.195133085,0.079248253,0.139007263,16.5371385,0.087217971,0.231041693,0.271866936,0.101206449,1.926772449,0.16505084,NA,19.53855035,0.076280919,0.076280919,3.760933557,8.25,NA
37,167,26-Apr-15,2015,29-Apr-15,4.29,4,12:32:00 PM,12,NA,1,C3K 7145,0.019442008,0.459784298,0.08179873,18.01217232,0.672638749,8.347339544,27.59317565,NA,39.08766485,1.545134258,1.300204134,1.427758235,0.063841017,1.671107381,45.09570988,2.124446595,0.351894397,1.477138949,0.247521422,4.201001363,0.04268752,0.128007999,19.88200969,0,0.337298764,0.348060255,0,2.09249184,0.221815833,NA,23.0523719,0.05774121,0.05774121,5.487351683,11.27,NA
38,147,27-Apr-15,2015,30-Apr-15,4.3,4,9:04:00 AM,8,NA,1,C3K 6014,0.015423916,0.592489155,0.069546043,16.13389976,0.474553868,8.448185309,25.73409805,NA,39.83099296,1.809271175,0.661665899,1.290373898,0.074815046,1.952751068,45.61987005,1.37507829,0.215242787,1.198423083,0.279088713,3.067832873,0.0463331,0.127047489,22.3466437,0,0.351841444,0.316312648,0,2.038605008,0.309514186,NA,25.53629758,0.04190145,0.04190145,8.32388811,8.99,NA
45,202,30-Apr-15,2015,3-May-15,5.03,4,1:20:00 PM,14,NA,1,C3K 6025,0.0446887,1.701324229,0.088543688,20.56498511,0.63871833,9.321094306,32.35935436,NA,36.66017029,1.156197155,1.611166715,1.428789861,0.055178504,1.26646093,42.17796346,2.975093138,0.269081794,1.661818341,0.345371068,5.251364341,0.029689532,0.106689469,17.00989322,0,0.403005144,0.37891719,0,1.983124501,0.237856395,NA,20.14917545,0.062142385,0.062142385,3.836941058,9.29,NA
